Ulasan Asli,1_Lower_Elongated,2_Emoji_to_Word,3_Slang_Normalization,4_Stemming,5_Handle_Negation,6_Final_Cleaned (Stopwords)
"App OP banget , selalu gak bisa di pake🎉","app op banget , selalu gak bisa di pake🎉","app op banget , selalu gak bisa di pake party popper ","aplikasi op banget , selalu tidak bisa di pake party popper",aplikasi op banget selalu tidak bisa di pake party popper,aplikasi op banget selalu tidak_bisa di pake party popper,op tidak_bisa pake party popper
Sudah memakai jaringan yang cepat pun pemuatan aplikasi masih sangat lambat. Tolong diperbaiki,sudah memakai jaringan yang cepat pun pemuatan aplikasi masih sangat lambat. tolong diperbaiki,sudah memakai jaringan yang cepat pun pemuatan aplikasi masih sangat lambat. tolong diperbaiki,sudah memakai jaringan yang cepat pun pemuatan aplikasi masih sangat lambat. tolong perbaiki,sudah pakai jaring yang cepat pun muat aplikasi masih sangat lambat tolong baik,sudah pakai jaring yang cepat pun muat aplikasi masih sangat lambat tolong baik,jaring cepat muat sangat lambat baik
Kurang bagus...,kurang bagus..,kurang bagus..,kurang bagus..,kurang bagus,kurang_bagus,kurang_bagus
"Lek tulong, daftar baru trus udah dapet link tp bar di klik loading terus""an, gaiso login njuk nek arep ngurus opo"" kudu login. Njuk aku nginstal iki gunane kur ngebaki memori?","lek tulong, daftar baru trus udah dapet link tp bar di klik loading terus""an, gaiso login njuk nek arep ngurus opo"" kudu login. njuk aku nginstal iki gunane kur ngebaki memori?","lek tulong, daftar baru trus udah dapet link tp bar di klik loading terus""an, gaiso login njuk nek arep ngurus opo"" kudu login. njuk aku nginstal iki gunane kur ngebaki memori?","lek tulong, daftar baru terus udah dapet link tapi bar di klik memuat terus""an, gaiso login njuk nek arep ngurus opo"" kudu login. njuk aku nginstal ini gunane kur ngebaki memori?",lek tulong daftar baru terus udah dapet link tapi bar di klik muat terus an gaiso login njuk nek arep ngurus opo kudu login njuk aku nginstal ini gunane kur ngebaki memori,lek tulong daftar baru terus udah dapet link tapi bar di klik muat terus an gaiso login njuk nek arep ngurus opo kudu login njuk aku nginstal ini gunane kur ngebaki memori,lek tulong baru terus udah dapet link bar klik muat terus an gaiso njuk nek arep ngurus opo kudu njuk aku nginstal gunane kur ngebaki memori
"Untuk mengurus akta kematian saja, ribetnya minta ampun... Diulang berapa kalipun tetap ujung-ujungnya gagal","untuk mengurus akta kematian saja, ribetnya minta ampun.. diulang berapa kalipun tetap ujung-ujungnya gagal","untuk mengurus akta kematian saja, ribetnya minta ampun.. diulang berapa kalipun tetap ujung-ujungnya gagal","untuk mengurus akta kematian saja, ribetnya minta ampun.. diulang berapa kalipun tetap ujung-ujungnya gagal",untuk urus akta mati saja ribetnya minta ampun ulang berapa kali tetap ujung gagal,untuk urus akta mati saja ribetnya minta ampun ulang berapa kali tetap ujung gagal,urus akta mati ribetnya minta ampun ulang berapa kali tetap ujung gagal
Gabisa umum,gabisa umum,gabisa umum,tidak bisa umum,tidak bisa umum,tidak_bisa umum,tidak_bisa umum
Ini kok fitur nya membingung kan ya ... Loading nya lama bgt trs kurang jelas juga ..,ini kok fitur nya membingung kan ya .. loading nya lama bgt trs kurang jelas juga ..,ini kok fitur nya membingung kan ya .. loading nya lama bgt trs kurang jelas juga ..,ini kok fitur nya membingung kan ya .. memuat nya lama banget terus kurang jelas juga ..,ini kok fitur nya bingung kan ya muat nya lama banget terus kurang jelas juga,ini kok fitur nya bingung kan ya muat nya lama banget terus kurang_jelas juga,bingung kan ya muat lama terus kurang_jelas
"Tolong dong dibikin widget buat presensi online nya, biar langsung dapat diakses di home screen. dan satu lagi tampilan home nya jangan berat2, hp kentang jadi lemot makasih... #karyawanpemkot","tolong dong dibikin widget buat presensi online nya, biar langsung dapat diakses di home screen. dan satu lagi tampilan home nya jangan berat2, hp kentang jadi lemot makasih.. #karyawanpemkot","tolong dong dibikin widget buat presensi online nya, biar langsung dapat diakses di home screen. dan satu lagi tampilan home nya jangan berat2, hp kentang jadi lemot makasih.. #karyawanpemkot","tolong dong dibikin widget buat presensi online nya, biar langsung dapat diakses di home screen. dan satu lagi tampilan home nya jangan berat2, ponsel kentang jadi lambat makasih.. #karyawanpemkot",tolong dong bikin widget buat presensi online nya biar langsung dapat akses di home screen dan satu lagi tampil home nya jangan berat2 ponsel kentang jadi lambat makasih karyawanpemkot,tolong dong bikin widget buat presensi online nya biar langsung dapat akses di home screen dan satu lagi tampil home nya jangan_berat ponsel kentang jadi lambat makasih karyawanpemkot,bikin widget presensi online biar langsung dapat home screen satu lagi tampil home jangan_berat ponsel kentang jadi lambat makasih karyawanpemkot
"Update aplikasi terbaru malah susah untuk digunakanpelaporan pajak parkir, cetak kode bayar tidak bisa berjalan.","update aplikasi terbaru malah susah untuk digunakanpelaporan pajak parkir, cetak kode bayar tidak bisa berjalan.","update aplikasi terbaru malah susah untuk digunakanpelaporan pajak parkir, cetak kode bayar tidak bisa berjalan.","update aplikasi terbaru justru sulit untuk digunakanpelaporan pajak parkir, cetak kode bayar tidak bisa berjalan.",update aplikasi baru justru sulit untuk digunakanpelaporan pajak parkir cetak kode bayar tidak bisa jalan,update aplikasi baru justru sulit untuk digunakanpelaporan pajak parkir cetak kode bayar tidak_bisa jalan,baru justru sulit digunakanpelaporan pajak parkir cetak kode bayar tidak_bisa jalan
Sering error untk absen pegawai,sering error untk absen pegawai,sering error untk absen pegawai,sering error untk absen pegawai,sering error untk absen pegawai,sering error untk absen pegawai,error untk absen pegawai
Mau daftar trs mau login tp kk susah gk bisa2 padahal data sudah sesuai Kartu Identitas,mau daftar trs mau login tp kk susah gk bisa2 padahal data sudah sesuai kartu identitas,mau daftar trs mau login tp kk susah gk bisa2 padahal data sudah sesuai kartu identitas,mau daftar terus mau login tapi kartu keluarga sulit tidak bisa2 padahal data sudah sesuai kartu identitas,mau daftar terus mau login tapi kartu keluarga sulit tidak bisa2 padahal data sudah sesuai kartu identitas,mau daftar terus mau login tapi kartu keluarga sulit tidak_bisa padahal data sudah sesuai kartu identitas,mau terus mau kartu keluarga sulit tidak_bisa padahal sesuai kartu identitas
Sering update terus tp sama aja masih sering lemot bikin penyimpanan banyak lagi. Tolong diperbaiki,sering update terus tp sama aja masih sering lemot bikin penyimpanan banyak lagi. tolong diperbaiki,sering update terus tp sama aja masih sering lemot bikin penyimpanan banyak lagi. tolong diperbaiki,sering update terus tapi sama aja masih sering lambat bikin penyimpanan banyak lagi. tolong perbaiki,sering update terus tapi sama aja masih sering lambat bikin simpan banyak lagi tolong baik,sering update terus tapi sama aja masih sering lambat bikin simpan banyak lagi tolong baik,terus sama lambat bikin simpan banyak lagi baik
Lambat sering error,lambat sering error,lambat sering error,lambat sering error,lambat sering error,lambat sering error,lambat error
Agak lemot,agak lemot,agak lemot,agak lambat,agak lambat,agak lambat,agak lambat
"susah untuk masuk, setiap masuk harus ganti pasword. perbaiki layanannya dong. Bikikn pusing.","susah untuk masuk, setiap masuk harus ganti pasword. perbaiki layanannya dong. bikikn pusing.","susah untuk masuk, setiap masuk harus ganti pasword. perbaiki layanannya dong. bikikn pusing.","sulit untuk masuk, setiap masuk harus ganti pasword. perbaiki layanannya dong. bikikn pusing.",sulit untuk masuk tiap masuk harus ganti pasword baik layan dong bikikn pusing,sulit untuk masuk tiap masuk harus ganti pasword baik layan dong bikikn pusing,sulit tiap ganti pasword baik layan bikikn pusing
"Buat apa aplikasi ini eg ada fungsinya, sy warga ktp kota jogja sdh pernah menggadu diaplikasi ini, eh mau laporan lagi malah eg bisa ke kirim tolong dibenahi, aku laporan pengajuan lampu baru go akses masjid neng gonku e rung dikabulke","buat apa aplikasi ini eg ada fungsinya, sy warga ktp kota jogja sdh pernah menggadu diaplikasi ini, eh mau laporan lagi malah eg bisa ke kirim tolong dibenahi, aku laporan pengajuan lampu baru go akses masjid neng gonku e rung dikabulke","buat apa aplikasi ini eg ada fungsinya, sy warga ktp kota jogja sdh pernah menggadu diaplikasi ini, eh mau laporan lagi malah eg bisa ke kirim tolong dibenahi, aku laporan pengajuan lampu baru go akses masjid neng gonku e rung dikabulke","buat apa aplikasi ini eg ada fungsinya, saya warga kartu tanda penduduk kota yogyakarta sudah pernah menggadu diaplikasi ini, eh mau laporan lagi justru eg bisa ke kirim tolong dibenahi, aku laporan pengajuan lampu baru go akses masjid neng gonku e rung dikabulke",buat apa aplikasi ini eg ada fungsi saya warga kartu tanda duduk kota yogyakarta sudah pernah menggadu aplikasi ini eh mau lapor lagi justru eg bisa ke kirim tolong benah aku lapor aju lampu baru go akses masjid neng gonku e rung dikabulke,buat apa aplikasi ini eg ada fungsi saya warga kartu tanda duduk kota yogyakarta sudah pernah menggadu aplikasi ini eh mau lapor lagi justru eg bisa ke kirim tolong benah aku lapor aju lampu baru go akses masjid neng gonku e rung dikabulke,eg fungsi warga kartu tanda duduk kota menggadu eh mau lagi justru eg bisa benah aku aju lampu baru go masjid neng gonku e rung dikabulke
"Saya sudah daftar tapi gagal karena NIK terdeteksi bukan warga DIY. padahal sy DIY asli. Terpaksa, sy un instal krn tdk ada fungsinya","saya sudah daftar tapi gagal karena nik terdeteksi bukan warga diy. padahal sy diy asli. terpaksa, sy un instal krn tdk ada fungsinya","saya sudah daftar tapi gagal karena nik terdeteksi bukan warga diy. padahal sy diy asli. terpaksa, sy un instal krn tdk ada fungsinya","saya sudah daftar tapi gagal karena nik terdeteksi bukan warga diy. padahal saya diy asli. terpaksa, saya un pasang karena tidak ada fungsinya",saya sudah daftar tapi gagal karena nik deteksi bukan warga diy padahal saya diy asli paksa saya un pasang karena tidak ada fungsi,saya sudah daftar tapi gagal karena nik deteksi bukan_warga diy padahal saya diy asli paksa saya un pasang karena tidak_ada fungsi,gagal deteksi bukan_warga diy padahal diy asli paksa un pasang tidak_ada fungsi
"Saya kecewa padahal saya asli orang Jogja dr kecil,tapi pas saya daftar katanya nik saya bukan orang Jogja 😭😭😭😭😭","saya kecewa padahal saya asli orang jogja dr kecil,tapi pas saya daftar katanya nik saya bukan orang jogja 😭😭","saya kecewa padahal saya asli orang jogja dr kecil,tapi pas saya daftar katanya nik saya bukan orang jogja  kecewa menangis  kecewa menangis ","saya kecewa padahal saya asli orang yogyakarta dari kecil,tapi pas saya daftar katanya nik saya bukan orang yogyakarta kecewa menangis kecewa menangis",saya kecewa padahal saya asli orang yogyakarta dari kecil tapi pas saya daftar kata nik saya bukan orang yogyakarta kecewa menang kecewa menang,saya kecewa padahal saya asli orang yogyakarta dari kecil tapi pas saya daftar kata nik saya bukan_orang yogyakarta kecewa menang kecewa menang,kecewa padahal asli orang kecil kata bukan_orang kecewa menang kecewa menang
Aplikasi bagus dan udah instal baru sadar kalau ini aplikasi sepertinya hanya untuk jogja kota.kecewa yaaaa..!!!😂😂😂,aplikasi bagus dan udah instal baru sadar kalau ini aplikasi sepertinya hanya untuk jogja kota.kecewa yaa..!!😂😂,aplikasi bagus dan udah instal baru sadar kalau ini aplikasi sepertinya hanya untuk jogja kota.kecewa yaa..!! face with tears of joy  face with tears of joy ,aplikasi bagus dan udah pasang baru sadar kalau ini aplikasi sepertinya hanya untuk yogyakarta kota.kecewa yaa..!! face with tears of joy face with tears of joy,aplikasi bagus dan udah pasang baru sadar kalau ini aplikasi seperti hanya untuk yogyakarta kota kecewa yaa face with tears of joy face with tears of joy,aplikasi bagus dan udah pasang baru sadar kalau ini aplikasi seperti hanya untuk yogyakarta kota kecewa yaa face with tears of joy face with tears of joy,bagus udah pasang baru sadar hanya kota kecewa yaa face with tears of joy face with tears of joy
masih perlu banyak perbaikan. saya orang bantul tp di app saya bukan orang jogja.. dan mau ikut dodolan tidak ada tombol add. mau tanya cs tidak bisa cm blank putih,masih perlu banyak perbaikan. saya orang bantul tp di app saya bukan orang jogja.. dan mau ikut dodolan tidak ada tombol add. mau tanya cs tidak bisa cm blank putih,masih perlu banyak perbaikan. saya orang bantul tp di app saya bukan orang jogja.. dan mau ikut dodolan tidak ada tombol add. mau tanya cs tidak bisa cm blank putih,masih perlu banyak perbaikan. saya orang bantul tapi di aplikasi saya bukan orang jogja.. dan mau ikut dodolan tidak ada tombol add. mau tanya cs tidak bisa cm blank putih,masih perlu banyak baik saya orang bantul tapi di aplikasi saya bukan orang jogja dan mau ikut dodol tidak ada tombol add mau tanya cs tidak bisa cm blank putih,masih perlu banyak baik saya orang bantul tapi di aplikasi saya bukan_orang jogja dan mau ikut dodol tidak_ada tombol add mau tanya cs tidak_bisa cm blank putih,perlu banyak baik orang bantul bukan_orang jogja mau ikut dodol tidak_ada tombol add mau tanya cs tidak_bisa cm blank putih
Gak bisa daftar.,gak bisa daftar.,gak bisa daftar.,tidak bisa daftar.,tidak bisa daftar,tidak_bisa daftar,tidak_bisa
kurang baik,kurang baik,kurang baik,kurang baik,kurang baik,kurang_baik,kurang_baik
"tidak bisa daftar,tombol daftarnya ridak kelihatan dan tidak bisa di scroll ke bawah. mohon perbaikan, terima kasih","tidak bisa daftar,tombol daftarnya ridak kelihatan dan tidak bisa di scroll ke bawah. mohon perbaikan, terima kasih","tidak bisa daftar,tombol daftarnya ridak kelihatan dan tidak bisa di scroll ke bawah. mohon perbaikan, terima kasih","tidak bisa daftar,tombol daftarnya ridak kelihatan dan tidak bisa di scroll ke bawah. mohon perbaikan, terima kasih",tidak bisa daftar tombol daftar ridak lihat dan tidak bisa di scroll ke bawah mohon baik terima kasih,tidak_bisa daftar tombol daftar ridak lihat dan tidak_bisa di scroll ke bawah mohon baik terima kasih,tidak_bisa tombol ridak tidak_bisa scroll bawah baik terima kasih
Susah Untuk live CCTV.. Terlalu Berat Datanya untuk live.,susah untuk live cctv.. terlalu berat datanya untuk live.,susah untuk live cctv.. terlalu berat datanya untuk live.,sulit untuk live cctv.. terlalu berat datanya untuk live.,sulit untuk live cctv terlalu berat data untuk live,sulit untuk live cctv terlalu berat data untuk live,sulit live terlalu berat live
sedikit2 didandani... :(,sedikit2 didandani.. :(,sedikit2 didandani.. :(,sedikit2 didandani.. :(,sedikit2 dandan,sedikit dandan,sedikit dandan
"Saya baru install, tapi kenapa sering force close ya. Tolong dibenerin admin","saya baru install, tapi kenapa sering force close ya. tolong dibenerin admin","saya baru install, tapi kenapa sering force close ya. tolong dibenerin admin","saya baru install, tapi kenapa sering force close ya. tolong dibenerin admin",saya baru install tapi kenapa sering force close ya tolong dibenerin admin,saya baru install tapi kenapa sering force close ya tolong dibenerin admin,baru install force close ya dibenerin
kurang cepat responnya,kurang cepat responnya,kurang cepat responnya,kurang cepat respons,kurang cepat respons,kurang_cepat respons,kurang_cepat respons
Susah mendaftar di jjs smart,susah mendaftar di jjs smart,susah mendaftar di jjs smart,sulit mendaftar di jjs smart,sulit daftar di jjs smart,sulit daftar di jjs smart,sulit jjs smart
susah bikin akun buat login,susah bikin akun buat login,susah bikin akun buat login,sulit bikin akun buat login,sulit bikin akun buat login,sulit bikin akun buat login,sulit bikin
"Minta tolong diperbaiki untuk aplikasi dan sistemnya, terutama di tahap pendaftarannya trouble sekali😭","minta tolong diperbaiki untuk aplikasi dan sistemnya, terutama di tahap pendaftarannya trouble sekali😭","minta tolong diperbaiki untuk aplikasi dan sistemnya, terutama di tahap pendaftarannya trouble sekali kecewa menangis ","minta tolong perbaiki untuk aplikasi dan sistemnya, terutama di tahap pendaftarannya trouble sekali kecewa menangis",minta tolong baik untuk aplikasi dan sistem utama di tahap daftar trouble sekali kecewa menang,minta tolong baik untuk aplikasi dan sistem utama di tahap daftar trouble sekali kecewa menang,minta baik utama tahap trouble kecewa menang
Alarm notif nya mengganggu sekali,alarm notif nya mengganggu sekali,alarm notif nya mengganggu sekali,alarm notif nya mengganggu sekali,alarm notif nya ganggu sekali,alarm notif nya ganggu sekali,alarm ganggu
Diinstal susah banget..bolak balik ke menu..setelah terinstal aplikasinya tidak muncul di layar hp,diinstal susah banget..bolak balik ke menu..setelah terinstal aplikasinya tidak muncul di layar hp,diinstal susah banget..bolak balik ke menu..setelah terinstal aplikasinya tidak muncul di layar hp,diinstal sulit banget..bolak balik ke menu..setelah terinstal aplikasinya tidak muncul di layar ponsel,diinstal sulit banget bolak balik ke menu telah terinstal aplikasi tidak muncul di layar ponsel,diinstal sulit banget bolak balik ke menu telah terinstal aplikasi tidak_muncul di layar ponsel,diinstal sulit bolak balik terinstal tidak_muncul layar ponsel
Ga bisa internetan walaupun udah ikutin tutor yg ada di dalem. Mnding pake cara yg lama aja,ga bisa internetan walaupun udah ikutin tutor yg ada di dalem. mnding pake cara yg lama aja,ga bisa internetan walaupun udah ikutin tutor yg ada di dalem. mnding pake cara yg lama aja,tidak bisa internetan walaupun udah ikutin tutor yg ada di dalem. mnding pake cara yg lama aja,tidak bisa internetan walaupun udah ikutin tutor yg ada di dalem mnding pake cara yg lama aja,tidak_bisa internetan walaupun udah ikutin tutor yg ada di dalem mnding pake cara yg lama aja,tidak_bisa internetan walaupun udah ikutin tutor yg dalem mnding pake cara yg lama
"Tolong registrasi di permudah dong, ga usah ada vermuk, yg kamera nya jelek susah mau daftar","tolong registrasi di permudah dong, ga usah ada vermuk, yg kamera nya jelek susah mau daftar","tolong registrasi di permudah dong, ga usah ada vermuk, yg kamera nya jelek susah mau daftar","tolong registrasi di permudah dong, tidak usah ada vermuk, yg kamera nya jelek sulit mau daftar",tolong registrasi di mudah dong tidak usah ada vermuk yg kamera nya jelek sulit mau daftar,tolong registrasi di mudah dong tidak_usah ada vermuk yg kamera nya jelek sulit mau daftar,registrasi mudah tidak_usah vermuk yg kamera jelek sulit mau
"mau daftar free hotspot susah, udah download sertifikat personal pas mau ekstrak hrs masukin pass akun jss tapi salah trus ga bisa pdhl uda bnr pass akun nya","mau daftar free hotspot susah, udah download sertifikat personal pas mau ekstrak hrs masukin pass akun jss tapi salah trus ga bisa pdhl uda bnr pass akun nya","mau daftar free hotspot susah, udah download sertifikat personal pas mau ekstrak hrs masukin pass akun jss tapi salah trus ga bisa pdhl uda bnr pass akun nya","mau daftar free hotspot susah, udah download sertifikat personal pas mau ekstrak hrs masukin pass akun jss tapi salah terus tidak bisa padahal uda bnr pass akun nya",mau daftar free hotspot susah udah download sertifikat personal pas mau ekstrak hrs masukin pass akun jss tapi salah terus tidak bisa padahal uda bnr pass akun nya,mau daftar free hotspot susah udah download sertifikat personal pas mau ekstrak hrs masukin pass akun jss tapi salah terus tidak_bisa padahal uda bnr pass akun nya,mau free susah udah download sertifikat personal mau ekstrak hrs masukin pass salah terus tidak_bisa padahal uda bnr pass
bobrok susah dipakai!!!,bobrok susah dipakai!!,bobrok susah dipakai!!,bobrok sulit dipakai!!,bobrok sulit pakai,bobrok sulit pakai,bobrok sulit
"ini aplikasi pemerintahan tapi mau buka kuk malah masuk iklan2, mohon diperbaiki","ini aplikasi pemerintahan tapi mau buka kuk malah masuk iklan2, mohon diperbaiki","ini aplikasi pemerintahan tapi mau buka kuk malah masuk iklan2, mohon diperbaiki","ini aplikasi pemerintahan tapi mau buka kuk justru masuk iklan2, mohon perbaiki",ini aplikasi perintah tapi mau buka kuk justru masuk iklan2 mohon baik,ini aplikasi perintah tapi mau buka kuk justru masuk iklan mohon baik,perintah mau kuk justru iklan baik
Respon chat livenya terlalu lama kurang fast respon,respon chat livenya terlalu lama kurang fast respon,respon chat livenya terlalu lama kurang fast respon,respon chat livenya terlalu lama kurang fast respon,respon chat livenya terlalu lama kurang fast respon,respon chat livenya terlalu lama kurang_fast respon,respon livenya terlalu lama kurang_fast respon
"Cctv tidak bisa di play min, error cctv nya. Jadi tidak bisa memantau sikon jalan seperti apa","cctv tidak bisa di play min, error cctv nya. jadi tidak bisa memantau sikon jalan seperti apa","cctv tidak bisa di play min, error cctv nya. jadi tidak bisa memantau sikon jalan seperti apa","cctv tidak bisa di play min, error cctv nya. jadi tidak bisa memantau sikon jalan seperti apa",cctv tidak bisa di play min error cctv nya jadi tidak bisa pantau sikon jalan seperti apa,cctv tidak_bisa di play min error cctv nya jadi tidak_bisa pantau sikon jalan seperti apa,tidak_bisa play error jadi tidak_bisa pantau sikon jalan
Gak bisa play CCTV min..udah coba ganti 5-6 titik CCTV sama semua error 'video can't be played'. Tolong segera diperbaiki min..thanks,gak bisa play cctv min..udah coba ganti 5-6 titik cctv sama semua error 'video can't be played'. tolong segera diperbaiki min..thanks,gak bisa play cctv min..udah coba ganti 5-6 titik cctv sama semua error 'video can't be played'. tolong segera diperbaiki min..thanks,tidak bisa play cctv min..udah coba ganti 5-6 titik cctv sama semua error 'video can't be played'. tolong segera perbaiki min..thanks,tidak bisa play cctv min udah coba ganti 5-6 titik cctv sama semua error video can t be played tolong segera baik min thanks,tidak_bisa play cctv min udah coba ganti titik cctv sama semua error video can t be played tolong segera baik min thanks,tidak_bisa play udah coba ganti titik sama semua error video can t be played baik thanks
WiFi kok tidak ada akses internet terus,wifi kok tidak ada akses internet terus,wifi kok tidak ada akses internet terus,wifi kok tidak ada akses internet terus,wifi kok tidak ada akses internet terus,wifi kok tidak_ada akses internet terus,wifi tidak_ada internet terus
Cctv gak bisa terbuka....barusaja pembaharuan,cctv gak bisa terbuka..barusaja pembaharuan,cctv gak bisa terbuka..barusaja pembaharuan,cctv tidak bisa terbuka..barusaja pembaharuan,cctv tidak bisa buka barusaja baharu,cctv tidak_bisa buka barusaja baharu,tidak_bisa barusaja baharu
"Cctv nya kurang rata, gabisa mantau cowoku jalan sama selingkuhannya","cctv nya kurang rata, gabisa mantau cowoku jalan sama selingkuhannya","cctv nya kurang rata, gabisa mantau cowoku jalan sama selingkuhannya","cctv nya kurang rata, tidak bisa mantau cowoku jalan sama selingkuhannya",cctv nya kurang rata tidak bisa mantau cowoku jalan sama selingkuh,cctv nya kurang_rata tidak_bisa mantau cowoku jalan sama selingkuh,kurang_rata tidak_bisa mantau cowoku jalan sama selingkuh
Masuk ke registrasinya lama bnget ya,masuk ke registrasinya lama bnget ya,masuk ke registrasinya lama bnget ya,masuk ke registrasinya lama bnget ya,masuk ke registrasi lama bnget ya,masuk ke registrasi lama bnget ya,registrasi lama bnget ya
Lag WiFi,lag wifi,lag wifi,lag wifi,lag wifi,lag wifi,lag wifi
Mau update malah mandek ditengah jalan alhasil macet,mau update malah mandek ditengah jalan alhasil macet,mau update malah mandek ditengah jalan alhasil macet,mau update justru mandek ditengah jalan alhasil macet,mau update justru mandek tengah jalan alhasil macet,mau update justru mandek tengah jalan alhasil macet,mau justru mandek tengah jalan alhasil macet
Agak susah sinyalnya,agak susah sinyalnya,agak susah sinyalnya,agak sulit sinyalnya,agak sulit sinyal,agak sulit sinyal,agak sulit sinyal
Gagal trs di proses akhirnya .sulit bgt,gagal trs di proses akhirnya .sulit bgt,gagal trs di proses akhirnya .sulit bgt,gagal terus di proses akhirnya .sulit banget,gagal terus di proses akhir sulit banget,gagal terus di proses akhir sulit banget,gagal terus proses akhir sulit
"mau registrasi aja lama,dari pagi sampe siang masih aja dlm proses","mau registrasi aja lama,dari pagi sampe siang masih aja dlm proses","mau registrasi aja lama,dari pagi sampe siang masih aja dlm proses","mau registrasi aja lama,dari pagi sampe siang masih aja dlm proses",mau registrasi aja lama dari pagi sampe siang masih aja dlm proses,mau registrasi aja lama dari pagi sampe siang masih aja dlm proses,mau registrasi lama pagi sampe siang dlm proses
Gmn si ni apl tiap login ke wifi gk bisaaa,gmn si ni apl tiap login ke wifi gk bisaa,gmn si ni apl tiap login ke wifi gk bisaa,bagaimana si ni apl tiap login ke wifi tidak bisaa,bagaimana si ni apl tiap login ke wifi tidak bisaa,bagaimana si ni apl tiap login ke wifi tidak_bisaa,si ni apl tiap wifi tidak_bisaa
"Gimana ini aplikasi buat laporan tdk bisa, lebih simpel yg dulu buat laporan gampang mohon diperbaiki","gimana ini aplikasi buat laporan tdk bisa, lebih simpel yg dulu buat laporan gampang mohon diperbaiki","gimana ini aplikasi buat laporan tdk bisa, lebih simpel yg dulu buat laporan gampang mohon diperbaiki","bagaimana ini aplikasi buat laporan tidak bisa, lebih simpel yg dulu buat laporan gampang mohon perbaiki",bagaimana ini aplikasi buat lapor tidak bisa lebih simpel yg dulu buat lapor gampang mohon baik,bagaimana ini aplikasi buat lapor tidak_bisa lebih simpel yg dulu buat lapor gampang mohon baik,tidak_bisa lebih simpel yg dulu gampang baik
Sekarang sering eror mau absen harus updet terus dari kemarin,sekarang sering eror mau absen harus updet terus dari kemarin,sekarang sering eror mau absen harus updet terus dari kemarin,sekarang sering error mau absen harus updet terus dari kemarin,sekarang sering error mau absen harus updet terus dari kemarin,sekarang sering error mau absen harus updet terus dari kemarin,sekarang error mau absen updet terus kemarin
Presensi berjalan krg lancar krn sering terganggu,presensi berjalan krg lancar krn sering terganggu,presensi berjalan krg lancar krn sering terganggu,presensi berjalan krg lancar karena sering terganggu,presensi jalan krg lancar karena sering ganggu,presensi jalan krg lancar karena sering ganggu,presensi jalan krg lancar ganggu
Status propil dari ketua RT menjadi warga sudah registrasi ulang tapi belum berhasil,status propil dari ketua rt menjadi warga sudah registrasi ulang tapi belum berhasil,status propil dari ketua rt menjadi warga sudah registrasi ulang tapi belum berhasil,status propil dari ketua rt menjadi warga sudah registrasi ulang tapi belum berhasil,status propil dari ketua rt jadi warga sudah registrasi ulang tapi belum hasil,status propil dari ketua rt jadi warga sudah registrasi ulang tapi belum_hasil,status propil ketua rt jadi warga registrasi ulang belum_hasil
???????,??,??,??,,,
ngirim file tidak bisa alias bug masih ada,ngirim file tidak bisa alias bug masih ada,ngirim file tidak bisa alias bug masih ada,ngirim file tidak bisa alias bug masih ada,ngirim file tidak bisa alias bug masih ada,ngirim file tidak_bisa alias bug masih ada,ngirim tidak_bisa alias bug
Sinyal kurang baik,sinyal kurang baik,sinyal kurang baik,sinyal kurang baik,sinyal kurang baik,sinyal kurang_baik,sinyal kurang_baik
Untuk wilayah Sleman belum bisa akses..kembangin lagi,untuk wilayah sleman belum bisa akses..kembangin lagi,untuk wilayah sleman belum bisa akses..kembangin lagi,untuk wilayah sleman belum bisa akses..kembangin lagi,untuk wilayah sleman belum bisa akses kembangin lagi,untuk wilayah sleman belum_bisa akses kembangin lagi,wilayah sleman belum_bisa kembangin lagi
"Aplikasi msh sering trouble,jd msh perlu disempurnakan","aplikasi msh sering trouble,jd msh perlu disempurnakan","aplikasi msh sering trouble,jd msh perlu disempurnakan","aplikasi masih sering trouble,jd masih perlu disempurnakan",aplikasi masih sering trouble jd masih perlu sempurna,aplikasi masih sering trouble jd masih perlu sempurna,trouble jd perlu sempurna
Sudah beberapa warga RT sy yang mencoba fitur pengaduan prasarana PJU kesulitan ketika memilih lokasi...,sudah beberapa warga rt sy yang mencoba fitur pengaduan prasarana pju kesulitan ketika memilih lokasi..,sudah beberapa warga rt sy yang mencoba fitur pengaduan prasarana pju kesulitan ketika memilih lokasi..,sudah beberapa warga rt saya yang mencoba fitur pengaduan prasarana pju kesulitan ketika memilih lokasi..,sudah beberapa warga rt saya yang coba fitur adu prasarana pju sulit ketika pilih lokasi,sudah beberapa warga rt saya yang coba fitur adu prasarana pju sulit ketika pilih lokasi,beberapa warga rt coba adu prasarana pju sulit ketika lokasi
Absen gak bisa padahal dah di kantor.,absen gak bisa padahal dah di kantor.,absen gak bisa padahal dah di kantor.,absen tidak bisa padahal sudah di kantor.,absen tidak bisa padahal sudah di kantor,absen tidak_bisa padahal sudah di kantor,absen tidak_bisa padahal kantor
"belum maksimal ,masih banyak kekurangan","belum maksimal ,masih banyak kekurangan","belum maksimal ,masih banyak kekurangan","belum maksimal ,masih banyak kekurangan",belum maksimal masih banyak kurang,belum_maksimal masih banyak kurang,belum_maksimal banyak kurang
